,index,text,language,created_at,location,fav_count,followers_count
56,67,"RT @LightspeedMag: Thanks to the folks who added reviews today! We really appreciate it. While you're at it, if you pop over, could you rep…",en,Wed Oct 24 17:07:20 +0000 2018,,43445,2097
57,68,@TrumpKAG nope,en,Wed Oct 24 17:07:20 +0000 2018,WV,2149,1441
58,69,Imagine being able to say that you were in the Grove City High School marching band…SO.MUCH.TALENT.,en,Wed Oct 24 17:07:20 +0000 2018,"Grove City, OH",31682,584
59,70,@TetelaSantos to even sister kkkkkkkkkkk gamadona,pt,Wed Oct 24 17:07:20 +0000 2018,,8858,1991
60,71,"We are live on Lone Star Community Radio!!! 

Mark Keough For County Judge is our special guest today! https://t.co/wvYvTwKOxI",en,Wed Oct 24 17:07:20 +0000 2018,"Conroe, Tx",744,674
61,72,"My friend is vegan. And everything seems to be ok, but how can I eat shavuha or a big Mac for two? I&#39;m confused...",ru,Wed Oct 24 17:07:20 +0000 2018,,857,50
62,73,RT @OurWeight: Will we have other years ol # OySerBirYeşinde #OySer,tr,Wed Oct 24 17:07:20 +0000 2018,,1948,101
63,74,"I liked a video on @YouTube, https://t.co/gGIcUzQgDU TARZY FILM (OFICIAL 2018)",ro,Wed Oct 24 17:07:20 +0000 2018,,3,10
64,75,RT @Orangeblood2012: @MedvedSHOW It’s the world both tribes and their media mouthpieces have created. Own it....,en,Wed Oct 24 17:07:20 +0000 2018,Lou-uh-vuhl,31918,681
65,76,"enough! stop feeling sorry for me! I will not accept your sympathy. I will achieve everything on my own. For this, I am ready to blacken myself.",ru,Wed Oct 24 17:07:20 +0000 2018,,2478,136
66,77,RT @ hwan835: I&#39;m a man so why do I write my daughter stubbornly? Https://t.co/dz1bCDyVOv,ko,Wed Oct 24 17:07:20 +0000 2018,Dante con Zahra 180128~,5480,123
67,78,Dmv could be making so much money it’s ridiculous so much talent going to waste cause everybody think they can do i… https://t.co/d4GTM6qWlZ,en,Wed Oct 24 17:07:20 +0000 2018,D(M)V,805,3577
68,79,Inspirational message from Inky Johnson,en,Wed Oct 24 17:07:20 +0000 2018,,2023,813
69,80,@realDonaldTrump Republicans frantic to cover record of attacking Obamacare https://t.co/bA03xrDaiN via @msnbc  tim… https://t.co/ZvAWx2Eqng,en,Wed Oct 24 17:07:20 +0000 2018,,383,24
70,81,RT @Renan_limams: When I remember I kissed that little mouthpiece https://t.co/5ofAKJgxgf,pt,Wed Oct 24 17:07:20 +0000 2018,"Rio de Janeiro, Brasil",5896,362
71,83,When dating beauty .. Sophia Loren️ https://t.co/L4xRm1Wkhc,ar,Wed Oct 24 17:07:20 +0000 2018,بلاط صاحبة الجلالة,11915,129705
72,86,RT @JohnMcDonald Turn off all day Listen to it // I do not know what to do. https://t.co/Q3j1WkJF65,th,Wed Oct 24 17:07:21 +0000 2018,,2384,35
73,87,@mrpotaHOEhead You come here!,tl,Wed Oct 24 17:07:21 +0000 2018,Paranaque ,11846,387
74,88,Damn&#39;s Hall of Fame Kinging moon Many people who can not enter the bath are full of sexual things King&#39;s Mu And it&#39;s going to be in no time w,ja,Wed Oct 24 17:07:21 +0000 2018,,466,175
75,89,Because I love you so much I love you,tl,Wed Oct 24 17:07:21 +0000 2018,south,3340,5414
76,90,RT @infleum: I just published “INFLEUM VISION &amp; GOALS” https://t.co/2TcSPxhFzH,en,Wed Oct 24 17:07:21 +0000 2018,"Hà Nội, Việt Nam",837,356
77,91,RT @John_Johnny: RT @John_Johnny: @John_John,th,Wed Oct 24 17:07:21 +0000 2018,#ᎢᎻᎬᎰᏫᏞᏞᏫᎳ,34,65
78,92,RT @Miss_Facts: &quot;I do not know what to do. https://t.co/nX5hqV6FMu,th,Wed Oct 24 17:07:21 +0000 2018,,2144,199
79,93,RT @creoleasf: Ima hit her with that “IT WAS IN THE SYLLABUS!!!” https://t.co/9MsPbgVY42,en,Wed Oct 24 17:07:21 +0000 2018,northern state SB,65471,3913
80,94,RT @twitter: I do not know what to do.,ko,Wed Oct 24 17:07:21 +0000 2018,,2206,64
81,95,RT @TO_MY_DARLINGV: 181024 # Tae Hyung #V # BuBu Bang Boys @BTS_twt It&#39;s too much to be laughing at this aggravation ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ https://t.co/e0Y070mg39,ko,Wed Oct 24 17:07:21 +0000 2018,,1656,7
82,96,"RT @tjournal: In Yandex.Ede, inaccessible food looks like it died. And on the background playing Hello darkness, my old friend (via @ aksinja ...",ru,Wed Oct 24 17:07:21 +0000 2018,,43,13
83,97,#SlasherSitcoms Goring Pains,en,Wed Oct 24 17:07:21 +0000 2018,Ape City,11217,324
84,98,"RT @istinomer: When capital is combined with the power, what we currently have in Serbia, then one oligarchic link, then creating false al ...",und,Wed Oct 24 17:07:21 +0000 2018,,131,37
85,99,RT @ Bocajgdor12pte: Is it the same? JQJDJAJD &quot;the re-concha of your whore mother and the whore who bore you&quot; https://t.co/hVYORjGhi5,es,Wed Oct 24 17:07:21 +0000 2018,"Buenos Aires, Argentina",2820,90
86,100,RT @BangBangtan_Esp: [📷] @BTS_twt 🍉Images from behind the cameras in chapter 6 of Bon Voyage! 🍍 (3/3) Ochim ~ https://t.co/C1Rk9Ysl23,es,Wed Oct 24 17:07:21 +0000 2018,,30032,145
87,101,@ mgktdeveloper When it comes to being able to sing the theme song of Sotetsurozen a single person,ja,Wed Oct 24 17:07:21 +0000 2018,地下,16887,239
88,102,"RT @milktae_jpg: [1:14]
#hoseok: Hello, I'm the hope of BTS, J-Hope. I've been using this phrase for a long time now and I am extremely hap…",en,Wed Oct 24 17:07:21 +0000 2018,,116138,310
89,103,RT @astrology: the signs in a group text https://t.co/g6ISCM7MUj,en,Wed Oct 24 17:07:21 +0000 2018,,382,6
90,104,RT @manuu_posada: Standardize the quartet in the clubs,es,Wed Oct 24 17:07:21 +0000 2018,"La Plata, Argentina",18760,514
91,105,RT @LauraLoomer: Omg. Looks like the return address on the suspicious packages has been traced to the office of DEMOCRAT Debbie Wasserman S…,en,Wed Oct 24 17:07:21 +0000 2018,,10719,169
92,106,"RT @PoliticsWolf: This has been happening in Greensboro, North Carolina too. My father’s rabbi incidentally noticed it because NC’s machine…",en,Wed Oct 24 17:07:21 +0000 2018,USA,83281,7020
93,107,wtf?? I just want to crawl under a rock with this shit show in our world...😐,en,Wed Oct 24 17:07:21 +0000 2018,"San Francisco, CA",41405,11424
94,108,@lifflh Tqt soon everyone will just put a question of tps,fr,Wed Oct 24 17:07:21 +0000 2018,"Nancy, France",7076,213
95,109,#ShareForOnePlus6T  #OnePlus6T #greatestphone,und,Wed Oct 24 17:07:21 +0000 2018,"Kolhapur, Maharashtra",374,2
96,110,"No worries, I dropped the class. Happy Wednesday",en,Wed Oct 24 17:07:21 +0000 2018,"Heyworth, IL",1806,186
97,111,"RT @BillKristol: He could cancel the rally, fly back to the White House, and read a sober ten-minute speech from the Oval Office. He could,…",en,Wed Oct 24 17:07:21 +0000 2018,,153968,1075
98,112,RT @fifochkai: The curious duo will start at Kanal D on 1 November Thursday at 20:00! #BigBackground # KeremBürsin #MKC https: // tc Muhteşem,tr,Wed Oct 24 17:07:21 +0000 2018,Tbilisi,8828,51
99,113,RT @RealSporting: 📣 #SportingB 👉 Final of the Federation Cup 🆚 @CDLealtad 📺 Follow him live on our website 👉 https://t.co/2WF8ErAyK...,es,Wed Oct 24 17:07:21 +0000 2018,Uviéu - Asturies,25058,1862
100,114,@ Aitzi78 It&#39;s not the one that I would take out but it seems good,es,Wed Oct 24 17:07:21 +0000 2018,,15083,331
101,115,"I thought I was going to be in the NBA, that is, not",es,Wed Oct 24 17:07:21 +0000 2018,,18431,543
102,116,RT @PiotrSemka: Embarrassing. There is no one in the PO who would pay attention to such behavior? https://t.co/fa8J0t8Qov,pl,Wed Oct 24 17:07:21 +0000 2018,,1593,38
103,117,RT @cherrylivu: Today is a year that I know @reallyktae @oddeyecllipse and @ohshwun later I do it for them hehe,pt,Wed Oct 24 17:07:21 +0000 2018,blackpink✧loona✧stray kids✧bts,9893,1224
104,118,Facebook cleaning time  deleting all kinds of idiots who are dumb as 2 by 4 then adding the friend requests waiting… https://t.co/ZUyFHo2yDw,en,Wed Oct 24 17:07:21 +0000 2018,SOME WHERE OUT THERE ,0,608
105,119,I liked a @YouTube video https://t.co/JubZXCP9ai Top 300 Most Viewed Songs Of All Time (October 2017),en,Wed Oct 24 17:07:21 +0000 2018,"England, United Kingdom",630,9
106,120,@HildaHaller @Hailun3 @realDonaldTrump You are totally wrong on this.  Minorities are doing better under Trump than… https://t.co/IsUuGqpIRS,en,Wed Oct 24 17:07:21 +0000 2018,"Nashua, NH",19,3
107,121,RT @ArabMubasher: Earthquake hits the coast of my province # Hadramout and # Shabwa East # Yemen https://t.co/6XPyjYirtS # Arabs_Mashrab https://t.co/1bVjfc3F5u,ar,Wed Oct 24 17:07:21 +0000 2018,Dammam - Eastern Province Kingdom of Saudi Arabia,363634,3621
108,122,"RT @W11zdom: When you visit a girl who reside in the same compound with your church member and you stay indoor for too long.

Church member…",en,Wed Oct 24 17:07:21 +0000 2018,Camp Nou,1289,10351
109,123,@xanderberkeley I absolutely love it. #ScottWilson #painting #art #love #xanderberkeley,en,Wed Oct 24 17:07:21 +0000 2018,west coast usa,3070,411
110,124,my teacher wants me out of my class😍,en,Wed Oct 24 17:07:21 +0000 2018,𝐰𝐢𝐭𝐡 𝐛𝐚𝐩,25985,306
111,125,"And just like that. Read some dumb ass, trying to be racist shit on FB and now I don’t even want to finish my lunch. 🤨",en,Wed Oct 24 17:07:21 +0000 2018,512247365 ,414,304
112,126,"When inviting people to date, it costs about 2,000 yen for transportation to and from the destination, so I can not wear it. I got scolded. I was surprised to hear that it was too dirty and too dreamy. Huh! ! What? I do not want to pay 2000 yen to meet me! ! What? I am less than 2000 yen! ! What? What? Yes ... https://t.co/dQTrlJkooB",ja,Wed Oct 24 17:07:21 +0000 2018,,6598,877
113,127,RT @raullechler: I am the way I am bc my parents never picked me up on time after school,en,Wed Oct 24 17:07:21 +0000 2018,,31164,450
114,128,"Sweet paprika, I love you",es,Wed Oct 24 17:07:21 +0000 2018,"Corrientes, Argentina",31584,155
115,129,"RT @Mous0505: The Mummy Family✨✨✨
#Halloween 
#ヒロアカ
#僕のヒーローアカデミア https://t.co/j6APIMvz5H",en,Wed Oct 24 17:07:21 +0000 2018,En el corazón de Monika,2612,38
116,130,"RT @LauraLoomer: So let me get his straight. 

In the course of 2 days: 

&gt; An explosive device was found near George Soros’s home

&gt; CNN I…",en,Wed Oct 24 17:07:21 +0000 2018,"Illinois, USA",13452,4975
117,131,RT @Followback_Bag: 📢 Increase Followers 📢 1 - Create Tweets for Twitter 2 - Follow all of Ritweet&#39;s work to follow you 3. Always follow who follows you - Commitment is important! ...,ar,Wed Oct 24 17:07:21 +0000 2018,,111,1871
118,132,"RT @el25villero: 2010:
Iphone 4

2014:
Iphone 6

2016:
Iphone 7

2017:
Iphone 8
Iphone X

2018:
Iphone Xs
Iphone Xr
Iphone X-Max

2019:
Iph…",de,Wed Oct 24 17:07:21 +0000 2018,"Beacon Hills, lake/rosewood",22880,4259
119,133,RT @HashKSA: URGENT: Mohammed bin Rashid: We are with # Mohammed_Ben_Salman in his personal battle to develop the region. https://t.co/Z0TOC761ME,ar,Wed Oct 24 17:07:21 +0000 2018,,10428,370
120,135,Can't wait for this! Have a look and see what you would like to get involved in 😍,en,Wed Oct 24 17:07:21 +0000 2018,,804,200
121,136,@luperoncha @ natiGimenez1985 @gabiestevezok @CFKArgentina @EquipoCFK @UniCiudadanaAR @PDV_Cordoba @ SenadoresFPVPJ ... https://t.co/f4xQOVe2nx,pt,Wed Oct 24 17:07:21 +0000 2018,,2990,1162
122,138,"@sean_spicier So much Truth, so little time.  Never go away Spicy! https://t.co/AbKnWHDFME",en,Wed Oct 24 17:07:21 +0000 2018,Look Behind You! It's Russia!,54468,3494
123,140,@AmiirrurRahim @nazhhhhhh a little sad sad story from me hm &quot;(* he can not google for data ... https://t.co/SfI0cxTupA,in,Wed Oct 24 17:07:21 +0000 2018,Maldives,1396,39
124,143,"Wait, I got a phone call casually because I was trembling with the broadcast and lag, and I heard that all of the audio of the studio had been picked up and it was quite difficult to know what the three people are talking about",ja,Wed Oct 24 17:07:22 +0000 2018,,20600,160
125,144,"RT @Stephen_Kingdom: I do not know what to do. And in Japan, it&#39;s not Jin Young.",th,Wed Oct 24 17:07:22 +0000 2018,Thailand,35549,82
126,145,RT @VidenteJorgeOF: Vision 🔮famous artist loses baby #jorgeclarividente https://t.co/UvhHf5P5F4,es,Wed Oct 24 17:07:22 +0000 2018,,716,13
127,146,"RT @carlisle777: @DonaldJTrumpJr #MAGAbomber is on the loose, #Khashoggi was murdered, all because of @realDonaldTrump’s hateful divisive r…",en,Wed Oct 24 17:07:22 +0000 2018,Earth,8908,2741
128,147,RT @JohnMcDonald: I do not know what you&#39;re talking about.,th,Wed Oct 24 17:07:22 +0000 2018,,7733,381
129,148,RT @ tarte 0 x 0: Maybe only Nagoya?,ja,Wed Oct 24 17:07:22 +0000 2018,ヘッダーは○めがねくん,103040,833
130,149,"RT @JohnMcDonald Before the date, our relatives will lose. Relatives visit and talk normally. Do not have depression. And the dead also told to dress because it will ...",th,Wed Oct 24 17:07:22 +0000 2018,,4244,240
131,150,@armejm That&#39;s it! ! !,ja,Wed Oct 24 17:07:22 +0000 2018,,115,1039
132,151,K A R M A,et,Wed Oct 24 17:07:22 +0000 2018,,31,2
133,152,RT @UpJotta: If you&#39;re having a bad day just look at this. https://t.co/9hdChVSErt,es,Wed Oct 24 17:07:22 +0000 2018,"Monterrey, Nuevo León",16247,157
134,153,RT @larissaevlly: kdhdid #MPN #JoaoGuilherme #JadePicon,und,Wed Oct 24 17:07:22 +0000 2018,,88,47
135,154,RT @FlasheasAmor: Promise me you will not cry https://t.co/GU0IpwXY40,es,Wed Oct 24 17:07:22 +0000 2018,"Mendoza, Argentina",1778,199
136,155,"RT @mousaxi: I&#39;m Aunts, if you are the devil of the world.",ar,Wed Oct 24 17:07:22 +0000 2018,"الرياض, المملكة العربية السعودية",5199,1595
137,156,RT @eric_eaton: @Zellionaire forever,en,Wed Oct 24 17:07:22 +0000 2018,Whirlpool Galaxy ✨,24438,2052
138,157,I want burgerFi😩,en,Wed Oct 24 17:07:22 +0000 2018,Dade County. ,1409,200
139,158,@ dustybee98 I did not understand,fa,Wed Oct 24 17:07:22 +0000 2018,Shiraz,2538,518
140,159,@__younghoney__ Mikayla &amp; I did that when we went to Vegas lol,en,Wed Oct 24 17:07:22 +0000 2018,United States,39679,1048
141,160,"@dorar_elkalam does not depend on the human being is weak, but I rely on God is the rest capable",ar,Wed Oct 24 17:07:22 +0000 2018,الجزائر,3157,47
142,161,"RT @ ij202: 2 guests + lick + rtweet + sui volu from rtweet, and guarantee you more than 150 followers in 30 minutes. Do not forget add me",ar,Wed Oct 24 17:07:22 +0000 2018,طالبة صحافه,1802,11658
143,162,RT @MozMozbanana: I JUSSssst Canttt 😭😂😭😂 https://t.co/2eID0Kyr7I,en,Wed Oct 24 17:07:22 +0000 2018,,2579,114
144,163,@IBR_PRODUCTION @CarterPVNVME Cb?,und,Wed Oct 24 17:07:22 +0000 2018,Paris,1033,977
145,164,"RT @JonesthePoet: I think about everything, all the time.",en,Wed Oct 24 17:07:22 +0000 2018,"Seminole, FL",20144,3414
146,165,RT @ Amjad0103: I&#39;m exhausted and I&#39;m trying to convince myself that he&#39;s normal and he&#39;s old and he was not ordinary.,ar,Wed Oct 24 17:07:22 +0000 2018,المملكة العربية السعودية,16,118
147,166,RT @Kokomothegreat: Developing NOW A suspicious device made it INTO CNN addressed to John Brennan. It is being removed &amp; on its way to the…,en,Wed Oct 24 17:07:22 +0000 2018,"Somewhere in CT, USA",90821,5465
148,167,RT @ 15052015N: Retirement at the time of the proposal about the Pillars 2 hours before saying YES and I can not find anything to say to those who just said NO. It says ...,tr,Wed Oct 24 17:07:22 +0000 2018,,7869,1445
149,168,RT @FashDonetsk: Even cotton is well aware that Zakharast is not in any way a hirr and that it was the Katsaps of the Invader of London that crashed into…,ru,Wed Oct 24 17:07:22 +0000 2018,Kyiv,64332,271
150,169,HAND PQ RAYS OR DIGGLE IS LISTENING TO EVERYONE WORDS THE TRUTH SHIT THEY WILL UNDERSTAND,pt,Wed Oct 24 17:07:22 +0000 2018,"Rio das Ostras, Brasil",6357,861
151,170,RT @VagandoRadio: When will we have @PalNorteOficial? It is confirmed that the 22nd and 23rd of March will be the Monterrey festival ...,es,Wed Oct 24 17:07:22 +0000 2018,,687,203
152,171,Wooooo,und,Wed Oct 24 17:07:22 +0000 2018,"""nueva República army""",261,13
153,172,"RT @ vakh_1: I was terrified that someone could love me because of my shape, if my face was distorted in any way? Or was it powered by a Mac? If beauty standards change and I do not own it ...",ar,Wed Oct 24 17:07:22 +0000 2018,earth ,807,50
154,173,fkn hell has no faggit seen the sky before 🤣🤣,en,Wed Oct 24 17:07:22 +0000 2018,,15405,569
155,174,RT @KIS4KUNT: https://t.co/bb1p1ZXOj1,und,Wed Oct 24 17:07:22 +0000 2018,Houston,2094,747
156,175,Lord ask you the best of this day and the good after it ♻️ https://t.co/DVlGoz0Poq,ar,Wed Oct 24 17:07:22 +0000 2018,,45,241
157,176,"Officially tagged a TERRORIST 
#MADBOMBER

WILL NOT STOP THIS BLUE WAVE",en,Wed Oct 24 17:07:22 +0000 2018,"PHX,SEA,ATL,ATX",34827,7128
158,177,@karl_rieder @ BR24 Yap. I already got my hands on the funny #Plastic tax of the German Greens ... https://t.co/lveZvP7Rh1,de,Wed Oct 24 17:07:22 +0000 2018,Tu felix Bavaria!,23331,879
159,178,"@ Cigar_77 I have given you the number they have two sizes and (electricity and gas), which asks me to dial 69090801 or from their website ... https://t.co/mryEmgwZJX",ar,Wed Oct 24 17:07:22 +0000 2018,قلعة وادرين,178,626
